Parcela,Ag_Avima_matintaperera,Ag_Avima_sp1,Ag_Gen1_sp1,Bi_Stenostygnus_pusio,Co_Cynorta_bacuzinho,Co_Cynortellula_bimaculata,Co_Eucynortella_duapunctata,Co_Gen1_sp1,Co_Gen1_sp2,Co_Gen2_sp1,Co_Gen2_sp2,Co_Metalibitia_sp1,Co_Paecilaema_manifestum,Co_Paecilaema_marajoara,Co_Paecilaema_sp1,Co_Sibambea_sp1,Co_Taito_oblongatus,Co_Taito_sp1,Co_Taito_spaceinvaders,Cr_Callcosma_sp1,Cr_Gen1_sp1,Cr_Phareicranaus_manauara,Es_Gen1_sp1,Es_Gen2_sp1,Es_Gen2_sp2,Fi_Fissiphallius_martensi,Fi_Fissiphallius_tucupi,Go_Discocyrtus_carvalhoi,Go_Discocyrtus_troll,Ma_Gen1_sp1,Ma_Manaosbia_ducke,Ma_Rhopalocranaus_ricardoi,Ma_Rhopalocranaus_rotundus,Ma_Rhopalocranaus_sp1,Ma_Saramacia_lucasae,Ne_Gen1_sp1,Sa_Gen1_sp1,Sa_Gen2_sp1,Sa_Gen3_sp1,Sa_Maracaynatum_sp1,Sc_Caluga_guarana,Sc_Caluga_vendetta,Sc_Geaya_tostada,Sc_Gen1_sp1_a,Sc_Gen1_sp1_b,Sc_Gen1_sp2,Sc_Gen1_sp3,Sc_Gen1_sp3_b,Sc_Gen1_sp4,Sc_Gen2_sp1,Sc_Gen2_sp2,Sc_Gen3_sp1,Sc_Gen3_sp2,Sc_Prionostemma_catu,St_Auranus_hoeferscovitorum,St_Gen1_sp1,St_Protimesius_frodo,St_Protimesius_jirau,St_Protimesius_longipalpis,St_Protimesius_sp1,St_Stygnidius_sp1,St_Stygnus_aff_lesserti,St_Stygnus_aff_pectinipes,St_Stygnus_armatus,St_Stygnus_pectinipes,St_Stygnus_sp1,Za_Chamaia_sharmani,Za_Gen1_sp1,Za_Gen2_sp1,Za_Pirassunungoleptes_oitomeias,Latitude,Longitude
M2_TS_3500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.6811989,-60.3036022
M2_TS_4500,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,-3.6761514,-60.296184
M3_TN_0500,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-4.1275879182,-60.7287250366
M3_TN_1500,0,0,0,0,0,0,5,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1359697375,-60.7254406717
M3_TN_2500,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4.1444762796,-60.722270133
M3_TN_3500,0,0,0,1,0,0,1,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-4.1528259125,-60.7190285157
M3_TN_4500,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1612773016,-60.7158202585
M3_TS_0500,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,-4.1330113448,-60.7359759696
M3_TS_1500,0,0,0,0,0,0,7,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-4.1413588822,-60.7325257268
M3_TS_2500,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-4.1497133765,-60.7291422877
